variant,prob_decile,n,mean_pred_surv,obs_surv_rate
ACD,1,5000,0.6274924524800537,0.6154
ACD,2,5000,0.9437693901038217,0.9604
ACD,3,5000,0.9766191407015026,0.9826
ACD,4,5000,0.9882218498225455,0.9896
ACD,5,5000,0.9937323126763243,0.993
ACD,6,5000,0.9967276331871021,0.9946
ACD,7,5000,0.9983838152045126,0.997
ACD,8,5000,0.9993163922681959,0.9962
ACD,9,5000,0.9997901209493184,0.9958
ACD,10,5000,0.9999756116793737,0.9976
AK,1,3910,0.6147957157147069,0.5813299232736573
AK,2,3910,0.8791222817867642,0.8833759590792839
AK,3,3910,0.9341925827263984,0.9468030690537085
AK,4,3910,0.9595083316773828,0.9680306905370843
AK,5,3910,0.9742558788356978,0.9826086956521739
AK,6,3910,0.9836058314732672,0.9882352941176471
AK,7,3910,0.9900023622817061,0.9887468030690537
AK,8,3909,0.9944190625759106,0.9879764645689435
AK,9,3909,0.9974344397593601,0.9925812228191353
AK,10,3909,0.9993932474729004,0.9943719621386544
BC,1,5000,0.7004741825192768,0.6526
BC,2,5000,0.8062512927735117,0.799
BC,3,5000,0.8501783677876243,0.8566
BC,4,5000,0.8784345255880207,0.9056
BC,5,5000,0.8992471089770463,0.9298
BC,6,5000,0.9164017740354439,0.9342
BC,7,5000,0.931177512829088,0.9364
BC,8,5000,0.945085298310128,0.9432
BC,9,5000,0.9588668436647186,0.9482
BC,10,5000,0.975903466473485,0.9436
BM,1,5000,0.7118489414685357,0.619
BM,2,5000,0.8658209885029042,0.8886
BM,3,5000,0.9034894719886085,0.9404
BM,4,5000,0.9249374332773767,0.96
BM,5,5000,0.9400684008216583,0.9682
BM,6,5000,0.9516340106759673,0.97
BM,7,5000,0.9613051093292768,0.977
BM,8,5000,0.9698350293526397,0.9774
BM,9,5000,0.9780589990789175,0.9722
BM,10,5000,0.9881327106838541,0.9162
CA,1,3804,0.7474999642671855,0.7245005257623555
CA,2,3803,0.8196926819035983,0.8133052853010782
CA,3,3803,0.8472976009924575,0.8561661845911123
CA,4,3803,0.8658607669536625,0.8790428608992901
CA,5,3803,0.8809449198619795,0.8853536681567183
CA,6,3803,0.8956219735395542,0.8985011832763607
CA,7,3803,0.9103025330143816,0.9132264002103603
CA,8,3803,0.9253897560489881,0.915330002629503
CA,9,3803,0.9405843551764276,0.9339994740993952
CA,10,3803,0.9612475813103102,0.956876150407573
CI,1,2420,0.4599993589854562,0.4161157024793388
CI,2,2420,0.5997743214712304,0.6194214876033057
CI,3,2420,0.6725611075169264,0.7004132231404959
CI,4,2420,0.7305077942633302,0.753305785123967
CI,5,2419,0.7786137937676836,0.781314592806945
CI,6,2419,0.8183305114347504,0.8288548987184787
CI,7,2419,0.8535756982503269,0.8458040512608516
CI,8,2419,0.8873606857140651,0.8801157503100455
CI,9,2419,0.9196145348305411,0.9073997519636213
CI,10,2419,0.9577024865119036,0.9454319966928483
CR,1,5000,0.6568149267308042,0.6338
CR,2,5000,0.7741753765378614,0.7832
CR,3,5000,0.828746489809233,0.8398
CR,4,5000,0.8686281805973859,0.881
CR,5,5000,0.8989286331353384,0.9056
CR,6,5000,0.9228479178638251,0.929
CR,7,5000,0.9429991788063623,0.9396
CR,8,5000,0.9617137400633301,0.952
CR,9,5000,0.9815894476454924,0.9748
CR,10,5000,0.9938257083597878,0.9882
CS,1,5000,0.5742246445425744,0.5548
CS,2,5000,0.9237216398025621,0.9398
CS,3,5000,0.9645498429454477,0.9752
CS,4,5000,0.9802268509275259,0.986
CS,5,5000,0.9885514514194468,0.992
CS,6,5000,0.9933938902305226,0.9928
CS,7,5000,0.9964403113735166,0.996
CS,8,5000,0.9983124601674233,0.9958
CS,9,5000,0.999379462998642,0.9952
CS,10,5000,0.9999020659060522,0.996
EC,1,5000,0.5430248404734694,0.548
EC,2,5000,0.6964258908762857,0.6814
EC,3,5000,0.7827434717691077,0.7906
EC,4,5000,0.8220904568767139,0.8382
EC,5,5000,0.8479348064787163,0.8594
EC,6,5000,0.8719048675360245,0.8782
EC,7,5000,0.8939664200646481,0.8934
EC,8,5000,0.9157053986292089,0.9124
EC,9,5000,0.938305110976753,0.9336
EC,10,5000,0.9671962243059276,0.9626
EM,1,5000,0.5843744307301145,0.4928
EM,2,5000,0.713329586142318,0.736
EM,3,5000,0.7706010102411276,0.7986
EM,4,5000,0.8126033007761423,0.8436
EM,5,5000,0.8466927911140798,0.887
EM,6,5000,0.8746677378956185,0.9006
EM,7,5000,0.8973570063870929,0.9168
EM,8,5000,0.9172079545447238,0.9214
EM,9,5000,0.9373958494084181,0.9138
EM,10,5000,0.9637854277556819,0.9046
IE,1,5000,0.6781426067737709,0.601
IE,2,5000,0.7856616290628555,0.8124
IE,3,5000,0.8315841027855978,0.8514
IE,4,5000,0.8606067070919153,0.8848
IE,5,5000,0.8824312354668401,0.908
IE,6,5000,0.9003065120798783,0.918
IE,7,5000,0.916554374069565,0.925
IE,8,5000,0.9323414474423912,0.9274
IE,9,5000,0.9481035635143844,0.9292
IE,10,5000,0.9676708416880011,0.9242
KT,1,5000,0.6331410219665529,0.5466
KT,2,5000,0.7446998207089779,0.766
KT,3,5000,0.7953267170708332,0.8316
KT,4,5000,0.8336486012491963,0.872
KT,5,5000,0.8639329358039011,0.896
KT,6,5000,0.8875192184921207,0.907
KT,7,5000,0.9064436142233683,0.923
KT,8,5000,0.9241462194790537,0.9276
KT,9,5000,0.9425188548955288,0.9146
KT,10,5000,0.9664688266420131,0.9194
LS,1,5000,0.5924023861359616,0.569
LS,2,5000,0.9159835292946364,0.9408
LS,3,5000,0.9601144167132765,0.9736
LS,4,5000,0.9776891436288417,0.9808
LS,5,5000,0.9868717105059905,0.9878
LS,6,5000,0.9923746258737993,0.9916
LS,7,5000,0.995804760261183,0.9928
LS,8,5000,0.9979917109272839,0.9932
LS,9,5000,0.9993031564208203,0.9962
LS,10,5000,0.9999080740325177,0.9954
NC,1,1323,0.7425072447564801,0.6984126984126984
NC,2,1323,0.8318208285688794,0.8223733938019653
NC,3,1323,0.8678760596110725,0.8851095993953136
NC,4,1323,0.8923694213087725,0.9176114890400605
NC,5,1323,0.911574608119975,0.9334845049130763
NC,6,1323,0.9281848094298221,0.9455782312925171
NC,7,1323,0.9428592413328188,0.9455782312925171
NC,8,1323,0.9566966760263969,0.9440665154950869
NC,9,1323,0.9699650307636078,0.9599395313681028
NC,10,1322,0.9836567760826636,0.9697428139183056
NE,1,5000,0.6222796586464661,0.5956
NE,2,5000,0.9257778398339255,0.9512
NE,3,5000,0.9648812503759043,0.9778
NE,4,5000,0.9807316409569484,0.987
NE,5,5000,0.9889444157041993,0.9926
NE,6,5000,0.9937771013827146,0.9924
NE,7,5000,0.9967392531682013,0.9964
NE,8,5000,0.9985108246072504,0.9962
NE,9,5000,0.9995116273812559,0.9972
NE,10,5000,0.9999360777286763,0.997
OC,1,5000,0.7489535063246374,0.7394
OC,2,5000,0.8185113843274231,0.8372
OC,3,5000,0.8483601219299772,0.8708
OC,4,5000,0.8693142062799188,0.8832
OC,5,5000,0.886559377213025,0.9012
OC,6,5000,0.9023658410349475,0.9046
OC,7,5000,0.9174364175033579,0.931
OC,8,5000,0.9328768924813929,0.9164
OC,9,5000,0.950985006441124,0.9418
OC,10,5000,0.9769603297080321,0.9764
ON,1,5000,0.5570399825731182,0.5494
ON,2,5000,0.9143062617441056,0.9444
ON,3,5000,0.9620260984321433,0.9664
ON,4,5000,0.9797005328333596,0.9846
ON,5,5000,0.9885270170427313,0.9888
ON,6,5000,0.9935376043337781,0.9912
ON,7,5000,0.9966211255589902,0.9948
ON,8,5000,0.9984938548238502,0.9936
ON,9,5000,0.9995259292292116,0.996
ON,10,5000,0.9999478646178233,0.996
OP,1,5000,0.7740004347996366,0.7122
OP,2,5000,0.8599095443391995,0.8816
OP,3,5000,0.8915085703778232,0.9152
OP,4,5000,0.9117935116493555,0.95
OP,5,5000,0.9269619202039354,0.9494
OP,6,5000,0.9391986100087426,0.956
OP,7,5000,0.9496408964766844,0.9642
OP,8,5000,0.9588544358069193,0.9562
OP,9,5000,0.9679246409629497,0.9522
OP,10,5000,0.9793511951832662,0.9266
PN,1,5000,0.5817978481699702,0.5426
PN,2,5000,0.8492222564690769,0.8552
PN,3,5000,0.9197253292354993,0.932
PN,4,5000,0.9540162663722591,0.962
PN,5,5000,0.9734633863643888,0.9744
PN,6,5000,0.9849624637796651,0.9888
PN,7,5000,0.9920999176395578,0.9912
PN,8,5000,0.9962481898611527,0.995
PN,9,5000,0.9986311551409849,0.9964
PN,10,5000,0.9997773543003536,0.9938
SN,1,5000,0.5875570862973393,0.587
SN,2,5000,0.6814943942658025,0.6854
SN,3,5000,0.731020254311622,0.7302
SN,4,5000,0.7707850798273991,0.7754
SN,5,5000,0.8075054353597473,0.8026
SN,6,5000,0.8407374817182676,0.8312
SN,7,5000,0.8691769264411281,0.8774
SN,8,5000,0.8936536994495161,0.8956
SN,9,5000,0.9172295221627291,0.9064
SN,10,5000,0.9459441183123073,0.9384
SO,1,5000,0.7863072391887458,0.7168
SO,2,5000,0.8660017431740787,0.8942
SO,3,5000,0.8946544749807243,0.9212
SO,4,5000,0.9136922184260798,0.9374
SO,5,5000,0.9277159320657832,0.9426
SO,6,5000,0.9388250540366505,0.9498
SO,7,5000,0.9485304710345862,0.9514
SO,8,5000,0.9573365014780563,0.9554
SO,9,5000,0.9665041271359959,0.9532
SO,10,5000,0.9802303507692542,0.9462
TT,1,55,0.8894528507604124,0.8909090909090909
TT,2,54,0.9429586252008471,0.9074074074074074
TT,3,54,0.9584358059082171,0.9629629629629629
TT,4,54,0.9643814107430058,1
TT,5,54,0.969280747103034,0.9259259259259259
TT,6,54,0.9735989670143733,0.9814814814814815
TT,7,54,0.9768989582507865,0.9629629629629629
TT,8,54,0.9800564912029667,0.9444444444444444
TT,9,54,0.9830407132186307,1
TT,10,54,0.9882527906904448,1
UT,1,5000,0.7027587588443823,0.6396
UT,2,5000,0.8263565539727483,0.862
UT,3,5000,0.8836425648681123,0.9062
UT,4,5000,0.9210346795987615,0.927
UT,5,5000,0.9440306101801658,0.958
UT,6,5000,0.957955107845463,0.9634
UT,7,5000,0.9688989527238465,0.9698
UT,8,5000,0.9781323472502258,0.9828
UT,9,5000,0.985184610831404,0.9824
UT,10,5000,0.9907984842736416,0.9598
WC,1,5000,0.7570579554937125,0.6324
WC,2,5000,0.8623336257374483,0.8876
WC,3,5000,0.896413642551673,0.945
WC,4,5000,0.9192257640325048,0.9626
WC,5,5000,0.9364897864311178,0.9706
WC,6,5000,0.9502845290465698,0.971
WC,7,5000,0.9610982190393372,0.971
WC,8,5000,0.9703177042788168,0.975
WC,9,5000,0.9786370734806391,0.9704
WC,10,5000,0.9878779637410845,0.923
WS,1,5000,0.7418195019330904,0.693
WS,2,5000,0.8020550115437275,0.824
WS,3,5000,0.830846298084874,0.8418
WS,4,5000,0.8535797825012794,0.8686
WS,5,5000,0.8741984139194021,0.8814
WS,6,5000,0.8932817854652048,0.8854
WS,7,5000,0.9118533261574685,0.9076
WS,8,5000,0.9301654636312315,0.9152
WS,9,5000,0.9494196103363542,0.934
WS,10,5000,0.9742393974420045,0.979
